dataset,slice_type,slice_name,books,lineage_groups,primary,comparator,qwk_delta_low,qwk_delta_median,qwk_delta_high,qwk_delta_valid_replicates,mae_delta_low,mae_delta_median,mae_delta_high,mae_delta_valid_replicates,exact_accuracy_delta_low,exact_accuracy_delta_median,exact_accuracy_delta_high,exact_accuracy_delta_valid_replicates,catastrophic_error_rate_delta_low,catastrophic_error_rate_delta_median,catastrophic_error_rate_delta_high,catastrophic_error_rate_delta_valid_replicates,primary_better,tie,primary_worse
core120,source_contrast,non_storyweaver,31,31,ra_scope,qwen25_3b_rubric,-0.1441181969031806,0.01653107447494695,0.24993484509988337,10000,-0.25806451612903225,0.03225806451612906,0.3225806451612903,10000,-0.3225806451612903,-0.032258064516129004,0.25806451612903225,10000,0.0,0.0,0.0,10000,10,10,11
waveD28,overall,all,28,28,ra_scope,uniform_pool,0.0,0.0,0.0,10000,0.0,0.0,0.0,10000,0.0,0.0,0.0,10000,0.0,0.0,0.0,10000,0,28,0
waveD28,overall,all,28,28,ra_scope,length_ordinal,-0.034189944134078276,0.014141414141414232,0.08033660375154819,10000,-0.1428571428571429,-0.0357142857142857,0.07142857142857145,10000,-0.07142857142857151,0.0357142857142857,0.1428571428571429,10000,0.0,0.0,0.0,10000,2,25,1
waveD28,overall,all,28,28,ra_scope,char_tfidf,0.09261622888807729,0.2926658260145235,0.4879668860573819,10000,-0.7142857142857143,-0.39285714285714285,-0.0714285714285714,10000,0.0,0.25,0.4642857142857143,10000,-0.2857142857142857,-0.14285714285714285,-0.03571428571428571,10000,10,15,3
waveD28,overall,all,28,28,ra_scope,standard_measurements,-0.0008877593227328388,0.1624659860391205,0.40964618347338927,10000,-0.3928571428571429,-0.14285714285714285,0.10714285714285715,10000,-0.1071428571428572,0.10714285714285715,0.32142857142857145,10000,-0.10714285714285714,-0.03571428571428571,0.0,10000,7,17,4
waveD28,overall,all,28,28,ra_scope,finetuned_macbert,0.0299406909092532,0.11443891339527024,0.22704147666135946,10000,-0.3571428571428571,-0.17857142857142855,0.0,10000,0.0,0.17857142857142855,0.35714285714285715,10000,0.0,0.0,0.0,10000,6,21,1
waveD28,overall,all,28,28,ra_scope,qwen25_3b_rubric,0.009747313449202245,0.17592488068021095,0.3132865588599086,10000,-0.6428571428571429,-0.32142857142857145,0.0,10000,-0.1071428571428572,0.14285714285714285,0.39285714285714285,10000,-0.2857142857142857,-0.14285714285714285,-0.03571428571428571,10000,11,12,5
waveD28,level_band,L1-L2,22,22,ra_scope,uniform_pool,0.0,0.0,0.0,9995,0.0,0.0,0.0,10000,0.0,0.0,0.0,10000,0.0,0.0,0.0,10000,0,22,0
waveD28,level_band,L1-L2,22,22,ra_scope,length_ordinal,0.0,0.10248447204968936,0.2883194348859438,9995,-0.18181818181818185,-0.04545454545454547,0.09090909090909094,10000,-0.09090909090909094,0.045454545454545414,0.18181818181818188,10000,0.0,0.0,0.0,10000,2,19,1
waveD28,level_band,L1-L2,22,22,ra_scope,char_tfidf,-0.13916493603028524,0.18036036036036063,0.5089689220099383,9997,-0.7727272727272727,-0.36363636363636365,0.0,10000,-0.09090909090909088,0.18181818181818182,0.45454545454545453,10000,-0.36363636363636365,-0.18181818181818182,-0.045454545454545456,10000,7,12,3
waveD28,level_band,L1-L2,22,22,ra_scope,standard_measurements,-0.13018297726401593,0.2194233736526906,0.6484187828333446,10000,-0.5454545454545454,-0.22727272727272724,0.045454545454545525,10000,-0.09090909090909088,0.18181818181818182,0.45454545454545453,10000,-0.13636363636363635,-0.045454545454545456,0.0,10000,7,12,3
waveD28,level_band,L1-L2,22,22,ra_scope,finetuned_macbert,-0.0054876527812420806,0.11432378414390376,0.33834586466165406,10000,-0.3636363636363636,-0.18181818181818182,-0.045454545454545414,10000,0.045454545454545414,0.18181818181818182,0.3636363636363636,10000,0.0,0.0,0.0,10000,4,18,0
waveD28,level_band,L1-L2,22,22,ra_scope,qwen25_3b_rubric,-0.2813883077136623,-0.005646785797168763,0.24865554440195647,9994,-0.4090909090909091,-0.09090909090909088,0.2272727272727273,10000,-0.27272727272727276,0.0,0.27272727272727276,10000,-0.13636363636363635,-0.045454545454545456,0.0,10000,6,11,5
