dataset,slice_type,slice_name,books,lineage_groups,inferential_status,method,qwk,mae,exact_accuracy,adjacent_accuracy,catastrophic_error_rate
core120,single_level,L2,35,35,secondary_cluster_bootstrap,standard_measurements,,0.6571428571428571,0.34285714285714286,1.0,0.0
core120,single_level,L2,35,35,secondary_cluster_bootstrap,finetuned_macbert,,0.8857142857142857,0.11428571428571428,1.0,0.0
core120,single_level,L2,35,35,secondary_cluster_bootstrap,qwen25_3b_rubric,,0.8,0.5142857142857142,0.8571428571428571,0.14285714285714285
core120,single_level,L3,40,40,secondary_cluster_bootstrap,ra_scope,,0.375,0.65,0.975,0.025
core120,single_level,L3,40,40,secondary_cluster_bootstrap,uniform_pool,,0.325,0.7,0.975,0.025
core120,single_level,L3,40,40,secondary_cluster_bootstrap,length_ordinal,,0.525,0.525,0.95,0.05
core120,single_level,L3,40,40,secondary_cluster_bootstrap,char_tfidf,,0.9,0.1,1.0,0.0
core120,single_level,L3,40,40,secondary_cluster_bootstrap,standard_measurements,,0.425,0.675,0.9,0.1
core120,single_level,L3,40,40,secondary_cluster_bootstrap,finetuned_macbert,,0.55,0.5,0.95,0.05
core120,single_level,L3,40,40,secondary_cluster_bootstrap,qwen25_3b_rubric,,0.825,0.525,0.7,0.3
core120,single_level,L4,30,30,secondary_cluster_bootstrap,ra_scope,,0.26666666666666666,0.7333333333333333,1.0,0.0
core120,single_level,L4,30,30,secondary_cluster_bootstrap,uniform_pool,,0.4666666666666667,0.5333333333333333,1.0,0.0
core120,single_level,L4,30,30,secondary_cluster_bootstrap,length_ordinal,,0.3333333333333333,0.7333333333333333,0.9666666666666667,0.03333333333333333
core120,single_level,L4,30,30,secondary_cluster_bootstrap,char_tfidf,,0.03333333333333333,0.9666666666666667,1.0,0.0
core120,single_level,L4,30,30,secondary_cluster_bootstrap,standard_measurements,,0.8666666666666667,0.3,0.9,0.1
core120,single_level,L4,30,30,secondary_cluster_bootstrap,finetuned_macbert,,0.36666666666666664,0.6666666666666666,0.9666666666666667,0.03333333333333333
core120,single_level,L4,30,30,secondary_cluster_bootstrap,qwen25_3b_rubric,,1.0333333333333334,0.13333333333333333,0.8333333333333334,0.16666666666666666
core120,single_level,L5,4,4,descriptive_only_sparse,ra_scope,,1.0,0.0,1.0,0.0
core120,single_level,L5,4,4,descriptive_only_sparse,uniform_pool,,1.25,0.0,0.75,0.25
core120,single_level,L5,4,4,descriptive_only_sparse,length_ordinal,,1.0,0.0,1.0,0.0
core120,single_level,L5,4,4,descriptive_only_sparse,char_tfidf,,1.0,0.0,1.0,0.0
core120,single_level,L5,4,4,descriptive_only_sparse,standard_measurements,,1.0,0.25,0.75,0.25
core120,single_level,L5,4,4,descriptive_only_sparse,finetuned_macbert,,0.75,0.25,1.0,0.0
core120,single_level,L5,4,4,descriptive_only_sparse,qwen25_3b_rubric,,0.0,1.0,1.0,0.0
core120,source_contrast,non_storyweaver,31,31,secondary_cluster_bootstrap,ra_scope,0.7636363636363636,0.41935483870967744,0.5806451612903226,1.0,0.0
core120,source_contrast,non_storyweaver,31,31,secondary_cluster_bootstrap,uniform_pool,0.6923076923076923,0.45161290322580644,0.5806451612903226,0.967741935483871,0.03225806451612903
core120,source_contrast,non_storyweaver,31,31,secondary_cluster_bootstrap,length_ordinal,0.6545454545454545,0.6129032258064516,0.3870967741935484,1.0,0.0
core120,source_contrast,non_storyweaver,31,31,secondary_cluster_bootstrap,char_tfidf,0.721311475409836,0.4838709677419355,0.5483870967741935,0.967741935483871,0.03225806451612903
core120,source_contrast,non_storyweaver,31,31,secondary_cluster_bootstrap,standard_measurements,0.52,0.5806451612903226,0.5161290322580645,0.9032258064516129,0.0967741935483871
core120,source_contrast,non_storyweaver,31,31,secondary_cluster_bootstrap,finetuned_macbert,0.6909090909090909,0.5483870967741935,0.45161290322580644,1.0,0.0
core120,source_contrast,non_storyweaver,31,31,secondary_cluster_bootstrap,qwen25_3b_rubric,0.75,0.3870967741935484,0.6129032258064516,1.0,0.0
waveD28,overall,all,28,28,secondary_cluster_bootstrap,ra_scope,0.7861111111111111,0.39285714285714285,0.6071428571428571,1.0,0.0
waveD28,overall,all,28,28,secondary_cluster_bootstrap,uniform_pool,0.7861111111111111,0.39285714285714285,0.6071428571428571,1.0,0.0
waveD28,overall,all,28,28,secondary_cluster_bootstrap,length_ordinal,0.7720488466757123,0.42857142857142855,0.5714285714285714,1.0,0.0
waveD28,overall,all,28,28,secondary_cluster_bootstrap,char_tfidf,0.4871794871794872,0.7857142857142857,0.35714285714285715,0.8571428571428571,0.14285714285714285
waveD28,overall,all,28,28,secondary_cluster_bootstrap,standard_measurements,0.6198083067092652,0.5357142857142857,0.5,0.9642857142857143,0.03571428571428571
waveD28,overall,all,28,28,secondary_cluster_bootstrap,finetuned_macbert,0.6720351390922401,0.5714285714285714,0.42857142857142855,1.0,0.0
waveD28,overall,all,28,28,secondary_cluster_bootstrap,qwen25_3b_rubric,0.6031886625332152,0.7142857142857143,0.4642857142857143,0.8571428571428571,0.14285714285714285
waveD28,source,global_asp,13,13,descriptive_only_sparse,ra_scope,0.0,0.46153846153846156,0.5384615384615384,1.0,0.0
waveD28,source,global_asp,13,13,descriptive_only_sparse,uniform_pool,0.0,0.46153846153846156,0.5384615384615384,1.0,0.0
waveD28,source,global_asp,13,13,descriptive_only_sparse,length_ordinal,0.0,0.46153846153846156,0.5384615384615384,1.0,0.0
waveD28,source,global_asp,13,13,descriptive_only_sparse,char_tfidf,0.15827338129496393,0.9230769230769231,0.3076923076923077,0.7692307692307693,0.23076923076923078
waveD28,source,global_asp,13,13,descriptive_only_sparse,standard_measurements,-0.02877697841726623,0.6923076923076923,0.38461538461538464,0.9230769230769231,0.07692307692307693
waveD28,source,global_asp,13,13,descriptive_only_sparse,finetuned_macbert,0.0,0.46153846153846156,0.5384615384615384,1.0,0.0
waveD28,source,global_asp,13,13,descriptive_only_sparse,qwen25_3b_rubric,0.2857142857142858,0.6923076923076923,0.46153846153846156,0.9230769230769231,0.07692307692307693
waveD28,source,global_digital_library,8,8,descriptive_only_sparse,ra_scope,,0.375,0.625,1.0,0.0
waveD28,source,global_digital_library,8,8,descriptive_only_sparse,uniform_pool,,0.375,0.625,1.0,0.0
waveD28,source,global_digital_library,8,8,descriptive_only_sparse,length_ordinal,,0.5,0.5,1.0,0.0
waveD28,source,global_digital_library,8,8,descriptive_only_sparse,char_tfidf,,0.625,0.5,0.875,0.125
waveD28,source,global_digital_library,8,8,descriptive_only_sparse,standard_measurements,,0.625,0.375,1.0,0.0
waveD28,source,global_digital_library,8,8,descriptive_only_sparse,finetuned_macbert,,0.875,0.125,1.0,0.0
waveD28,source,global_digital_library,8,8,descriptive_only_sparse,qwen25_3b_rubric,,0.375,0.625,1.0,0.0
waveD28,source,storyweaver,7,7,descriptive_only_sparse,ra_scope,0.7941176470588235,0.2857142857142857,0.7142857142857143,1.0,0.0
waveD28,source,storyweaver,7,7,descriptive_only_sparse,uniform_pool,0.7941176470588235,0.2857142857142857,0.7142857142857143,1.0,0.0
waveD28,source,storyweaver,7,7,descriptive_only_sparse,length_ordinal,0.7941176470588235,0.2857142857142857,0.7142857142857143,1.0,0.0
waveD28,source,storyweaver,7,7,descriptive_only_sparse,char_tfidf,0.5783132530120481,0.7142857142857143,0.2857142857142857,1.0,0.0
waveD28,source,storyweaver,7,7,descriptive_only_sparse,standard_measurements,0.8888888888888888,0.14285714285714285,0.8571428571428571,1.0,0.0
waveD28,source,storyweaver,7,7,descriptive_only_sparse,finetuned_macbert,0.6865671641791045,0.42857142857142855,0.5714285714285714,1.0,0.0
waveD28,source,storyweaver,7,7,descriptive_only_sparse,qwen25_3b_rubric,0.3466666666666667,1.1428571428571428,0.2857142857142857,0.5714285714285714,0.42857142857142855
waveD28,level_band,L1-L2,22,22,secondary_cluster_bootstrap,ra_scope,0.30817610062893064,0.45454545454545453,0.5454545454545454,1.0,0.0
waveD28,level_band,L1-L2,22,22,secondary_cluster_bootstrap,uniform_pool,0.30817610062893064,0.45454545454545453,0.5454545454545454,1.0,0.0
waveD28,level_band,L1-L2,22,22,secondary_cluster_bootstrap,length_ordinal,0.1879194630872485,0.5,0.5,1.0,0.0
waveD28,level_band,L1-L2,22,22,secondary_cluster_bootstrap,char_tfidf,0.125382262996942,0.8181818181818182,0.36363636363636365,0.8181818181818182,0.18181818181818182
waveD28,level_band,L1-L2,22,22,secondary_cluster_bootstrap,standard_measurements,0.07881773399014769,0.6818181818181818,0.36363636363636365,0.9545454545454546,0.045454545454545456
waveD28,level_band,L1-L2,22,22,secondary_cluster_bootstrap,finetuned_macbert,0.18518518518518534,0.6363636363636364,0.36363636363636365,1.0,0.0
waveD28,level_band,L1-L2,22,22,secondary_cluster_bootstrap,qwen25_3b_rubric,0.3052631578947368,0.5454545454545454,0.5454545454545454,0.9545454545454546,0.045454545454545456
waveD28,level_band,L3,4,4,descriptive_only_sparse,ra_scope,,0.25,0.75,1.0,0.0
waveD28,level_band,L3,4,4,descriptive_only_sparse,uniform_pool,,0.25,0.75,1.0,0.0
waveD28,level_band,L3,4,4,descriptive_only_sparse,length_ordinal,,0.25,0.75,1.0,0.0
waveD28,level_band,L3,4,4,descriptive_only_sparse,char_tfidf,,1.0,0.0,1.0,0.0
waveD28,level_band,L3,4,4,descriptive_only_sparse,standard_measurements,,0.0,1.0,1.0,0.0
waveD28,level_band,L3,4,4,descriptive_only_sparse,finetuned_macbert,,0.25,0.75,1.0,0.0
waveD28,level_band,L3,4,4,descriptive_only_sparse,qwen25_3b_rubric,,1.5,0.25,0.25,0.75
waveD28,level_band,L4-L5,2,2,descriptive_only_sparse,ra_scope,,0.0,1.0,1.0,0.0
waveD28,level_band,L4-L5,2,2,descriptive_only_sparse,uniform_pool,,0.0,1.0,1.0,0.0
waveD28,level_band,L4-L5,2,2,descriptive_only_sparse,length_ordinal,,0.0,1.0,1.0,0.0
waveD28,level_band,L4-L5,2,2,descriptive_only_sparse,char_tfidf,,0.0,1.0,1.0,0.0
waveD28,level_band,L4-L5,2,2,descriptive_only_sparse,standard_measurements,,0.0,1.0,1.0,0.0
waveD28,level_band,L4-L5,2,2,descriptive_only_sparse,finetuned_macbert,,0.5,0.5,1.0,0.0
waveD28,level_band,L4-L5,2,2,descriptive_only_sparse,qwen25_3b_rubric,,1.0,0.0,1.0,0.0
waveD28,single_level,L1,7,7,descriptive_only_sparse,ra_scope,,0.0,1.0,1.0,0.0
waveD28,single_level,L1,7,7,descriptive_only_sparse,uniform_pool,,0.0,1.0,1.0,0.0
waveD28,single_level,L1,7,7,descriptive_only_sparse,length_ordinal,,0.0,1.0,1.0,0.0
waveD28,single_level,L1,7,7,descriptive_only_sparse,char_tfidf,,1.1428571428571428,0.2857142857142857,0.5714285714285714,0.42857142857142855
waveD28,single_level,L1,7,7,descriptive_only_sparse,standard_measurements,,0.7142857142857143,0.42857142857142855,0.8571428571428571,0.14285714285714285
waveD28,single_level,L1,7,7,descriptive_only_sparse,finetuned_macbert,,0.0,1.0,1.0,0.0
waveD28,single_level,L1,7,7,descriptive_only_sparse,qwen25_3b_rubric,,0.5714285714285714,0.42857142857142855,1.0,0.0
waveD28,single_level,L2,15,15,descriptive_only_sparse,ra_scope,,0.6666666666666666,0.3333333333333333,1.0,0.0
waveD28,single_level,L2,15,15,descriptive_only_sparse,uniform_pool,,0.6666666666666666,0.3333333333333333,1.0,0.0
waveD28,single_level,L2,15,15,descriptive_only_sparse,length_ordinal,,0.7333333333333333,0.26666666666666666,1.0,0.0
waveD28,single_level,L2,15,15,descriptive_only_sparse,char_tfidf,,0.6666666666666666,0.4,0.9333333333333333,0.06666666666666667
waveD28,single_level,L2,15,15,descriptive_only_sparse,standard_measurements,,0.6666666666666666,0.3333333333333333,1.0,0.0
waveD28,single_level,L2,15,15,descriptive_only_sparse,finetuned_macbert,,0.9333333333333333,0.06666666666666667,1.0,0.0
waveD28,single_level,L2,15,15,descriptive_only_sparse,qwen25_3b_rubric,,0.5333333333333333,0.6,0.9333333333333333,0.06666666666666667
waveD28,single_level,L3,4,4,descriptive_only_sparse,ra_scope,,0.25,0.75,1.0,0.0
waveD28,single_level,L3,4,4,descriptive_only_sparse,uniform_pool,,0.25,0.75,1.0,0.0
waveD28,single_level,L3,4,4,descriptive_only_sparse,length_ordinal,,0.25,0.75,1.0,0.0
waveD28,single_level,L3,4,4,descriptive_only_sparse,char_tfidf,,1.0,0.0,1.0,0.0
waveD28,single_level,L3,4,4,descriptive_only_sparse,standard_measurements,,0.0,1.0,1.0,0.0
waveD28,single_level,L3,4,4,descriptive_only_sparse,finetuned_macbert,,0.25,0.75,1.0,0.0
waveD28,single_level,L3,4,4,descriptive_only_sparse,qwen25_3b_rubric,,1.5,0.25,0.25,0.75
waveD28,single_level,L4,2,2,descriptive_only_sparse,ra_scope,,0.0,1.0,1.0,0.0
waveD28,single_level,L4,2,2,descriptive_only_sparse,uniform_pool,,0.0,1.0,1.0,0.0
waveD28,single_level,L4,2,2,descriptive_only_sparse,length_ordinal,,0.0,1.0,1.0,0.0
waveD28,single_level,L4,2,2,descriptive_only_sparse,char_tfidf,,0.0,1.0,1.0,0.0
waveD28,single_level,L4,2,2,descriptive_only_sparse,standard_measurements,,0.0,1.0,1.0,0.0
waveD28,single_level,L4,2,2,descriptive_only_sparse,finetuned_macbert,,0.5,0.5,1.0,0.0
waveD28,single_level,L4,2,2,descriptive_only_sparse,qwen25_3b_rubric,,1.0,0.0,1.0,0.0
